key,vsm_actual_x,SaldoInsolutoActual_x,PagosVencidosMeses_x,vsm_actual_y,SaldoInsolutoActual_y,PagosVencidosMeses_y,estado
2526,2686.144,95.23,0,2686.144,95.77,0,Michoacan
2527,2686.144,0.99,0,2686.144,1.1,0,Jalisco
2528,2686.144,179.26,0,2686.144,180.06,0,Jalisco
2529,2686.144,108.3,0,2686.144,108.79,0,Queretaro
2530,2686.144,173.33,0,2686.144,174.14,0,Queretaro
2531,2686.144,188.18,0,2686.144,189.05,0,Queretaro
2532,2686.144,101.58,0,2686.144,102.06,0,Queretaro
2533,2686.144,254.83,0,2686.144,257.41,0,Queretaro
2534,2686.144,144.52,0,2686.144,146.84,1,Queretaro
2535,2686.144,328.65,0,2686.144,330.08,0,Queretaro
2536,2686.144,11.91,0,2686.144,13.39,0,Queretaro
2537,2686.144,88.24,0,2686.144,88.88,0,Queretaro
2538,2686.144,316.07,0,2686.144,317.54,0,Queretaro
2539,2686.144,106.7,0,2686.144,107.79,0,Queretaro
2540,2686.144,115.96,1,2686.144,120.35,1,Queretaro
2541,2686.144,516.2,0,2686.144,513.32,0,Queretaro
2542,2686.144,203.39,0,2686.144,204.66,0,Queretaro
2543,2686.144,94.63,0,2686.144,95.09,0,Queretaro
2544,2686.144,163.72,0,2686.144,162.88,0,Queretaro
2545,2686.144,117.98,0,2686.144,119.1,0,Queretaro
2546,2686.144,139.02,0,2686.144,140.77,0,Queretaro
2547,2686.144,97.26,0,2686.144,97.79,0,Queretaro
2548,2686.144,318.45,1,2686.144,313.15,0,Jalisco
2549,2686.144,256.18,0,2686.144,257.67,0,Queretaro
2550,2686.144,136.55,0,2686.144,138.53,0,Queretaro
2551,2686.144,237.63,0,2686.144,241.27,0,Queretaro
2552,2686.144,171.97,0,2686.144,172.76,0,Queretaro
2553,2686.144,119.3,0,2686.144,119.05,0,Queretaro
2554,2686.144,158.34,0,2686.144,159.01,0,Queretaro
2555,2686.144,97.83,0,2686.144,98.9,0,Queretaro
2556,2686.144,169.86,0,2686.144,171.37,0,Queretaro
2557,2686.144,149.87,0,2686.144,151.31,0,Queretaro
2558,2686.144,141.33,0,2686.144,143.69,0,Queretaro
2559,2686.144,150.9,0,2686.144,151.55,0,Queretaro
2560,2686.144,230.97,0,2686.144,233.2,0,Queretaro
2561,2686.144,188.66,0,2686.144,189.52,0,Queretaro
2562,2686.144,107.45,0,2686.144,106.8,0,Queretaro
2563,2686.144,220.74,0,2686.144,221.71,0,Queretaro
2564,2686.144,40.11,0,2686.144,42.87,0,Queretaro
2565,2686.144,125.39,0,2686.144,128.07,0,Queretaro
2566,2686.144,153.82,0,2686.144,155.34,0,Queretaro
2567,2686.144,211.06,0,2686.144,220.64,0,Jalisco
2568,2686.144,297.86,1,2686.144,303.55,0,Queretaro
2569,2686.144,128.98,0,2686.144,130.81,0,Jalisco
2570,2686.144,203.17,0,2686.144,204.12,0,Queretaro
2571,2686.144,64.97,0,2686.144,65.87,0,Jalisco
